Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;09/2014;0;0;805.502;0;0;805.502;0;0;0;254.650;0;0;254.650;0;1.060.151;0;2.634.433;3.694.584;0;439.533;4.134.117
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;09/2014;57.081;0;11.732;1.215.020;13.374;1.297.207;87.502;0;0;0;0;0;0;1.050.350;2.435.059;3.309;958.536;3.396.903;2.615;713.737;4.113.255
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2014;0;0;123.361;46.702;0;170.063;0;0;0;0;0;0;0;3.161.157;3.331.220;0;169.442;3.500.663;48.143;530.562;4.079.367
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;09/2014;45.910;0;0;439.382;0;485.292;90.000;128.391;650.626;1.730;0;0;780.746;401.405;1.757.444;67.287;180.120;2.004.850;1.492;2.058.142;4.064.485
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;09/2014;0;0;0;3.328.219;0;3.328.219;0;0;0;0;0;0;0;0;3.328.219;0;231.864;3.560.083;0;199.318;3.759.402
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2014;263.359;0;0;1.240.057;27.791;1.531.207;0;0;139.431;0;0;0;139.431;1.061.331;2.731.970;0;38.694;2.770.664;0;978.628;3.749.292
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;09/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;187;187;0;3.458.346;3.458.533;0;154.405;3.612.938
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;09/2014;524.182;1.050.593;99.680;1.037.736;325;2.712.515;15.756;206;0;141.991;0;0;142.197;82.283;2.952.752;0;348.387;3.301.139;68;295.362;3.596.569
BBM;30207;b1;;C;2;SALVADOR;BA;09/2014;79.031;0;14.596;396.351;0;489.978;41.614;86.084;455.250;1.028.243;414;6.088;1.576.078;243.088;2.350.759;6.157;545.997;2.902.912;322;585.065;3.488.299
HONDA;51396;b2;;C;3;SAO PAULO;SP;09/2014;0;0;2.476.830;26.487;0;2.503.317;0;0;0;158.997;0;0;158.997;0;2.662.314;0;120.424;2.782.738;81.418;585.822;3.449.979
