Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;09/2010;NA;NA;313.288;0;313.288;1.424.830;0;0;0;0;0;116.879;1.541.709;NA;NA%;NA%;20,32%;NA%;0,00%
HONDA;51396;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;197.102;0;197.102;1.466.649;0;0;0;0;0;52.083;1.518.732;NA;NA%;NA%;12,98%;NA%;0,23%
FATOR;50122;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;320.591;0;320.591;807.410;175.651;0;124.716;75.348;375.715;164.210;1.347.335;NA;NA%;NA%;23,79%;NA%;32,60%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2010;NA;NA;2.811.585;1.408;2.812.993;1.179.162;0;0;5.275;12;5.287;133.169;1.317.617;NA;NA%;NA%;213,49%;NA%;0,62%
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;09/2010;NA;NA;176.862;0;176.862;1.090.641;0;853;17.113;79.230;97.196;127.733;1.315.570;NA;NA%;NA%;13,44%;NA%;32,11%
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2010;NA;NA;245.800;0;245.797;812.287;0;0;38;0;38;334.680;1.147.006;NA;NA%;NA%;21,43%;NA%;16,67%
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;180.723;0;180.723;626.393;0;24.450;278.593;0;303.043;161.838;1.091.275;NA;NA%;NA%;16,56%;NA%;10,53%
OPPORTUNITY;51107;b1;;C;2;RIO DE JANEIRO;RJ;09/2010;NA;NA;178.891;1;178.892;692.291;0;0;42.101;242.167;284.268;94.653;1.071.212;NA;NA%;NA%;16,70%;NA%;31,67%
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2010;NA;NA;233.058;0;233.058;1.006.180;0;0;0;0;0;42.734;1.048.914;NA;NA%;NA%;22,22%;NA%;0,00%
ING;51073;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;744.338;0;744.338;791.943;0;0;7.862;0;7.862;155.745;955.549;NA;NA%;NA%;77,90%;NA%;0,76%
